Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 1 Juanes Hagfish 2019,F12,liver,LE-LIV-66,18.466,19.522,1.056,41.22,12.24,-16.06,15.74,3.37,FALSE
Tray 1 Juanes Hagfish 2019,G1,standard,dogfish muscle,NA,NA,1.096,43.47,14.69,-17,14.13,2.96,FALSE
Tray 1 Juanes Hagfish 2019,G2,liver,LE-LIV-67,18.725,19.77,1.045,42.14,12.46,-17.25,14.97,3.38,FALSE
Tray 1 Juanes Hagfish 2019,G3,liver,LE-LIV-68,18.596,19.637,1.041,45.37,13.15,-17.53,14.87,3.45,FALSE
Tray 1 Juanes Hagfish 2019,G4,liver,LE-LIV-69,18.453,19.496,1.043,46.32,13.85,-17.25,14.32,3.34,FALSE
Tray 1 Juanes Hagfish 2019,G5,liver,LE-LIV-70,18.356,19.365,1.009,44.44,13.07,-17.36,15.04,3.4,FALSE
Tray 1 Juanes Hagfish 2019,G6,muscle,LE-MUS-1,19.111,20.156,1.045,44.86,13.65,-17.23,14.72,3.29,FALSE
Tray 1 Juanes Hagfish 2019,G7,muscle,LE-MUS-2,18.733,19.814,1.081,43.98,13.72,-15.67,16.46,3.21,FALSE
Tray 1 Juanes Hagfish 2019,G8,muscle,LE-MUS-3,18.704,19.734,1.03,45.92,14.13,-16.06,16.52,3.25,FALSE
Tray 1 Juanes Hagfish 2019,G9,muscle,LE-MUS-4,18.617,19.65,1.033,45.12,13.92,-16.9,14.86,3.24,FALSE
Tray 1 Juanes Hagfish 2019,G10,muscle,LE-MUS-5,18.702,19.802,1.1,44.9,13.99,-15.82,16.38,3.21,FALSE
Tray 1 Juanes Hagfish 2019,G11,muscle,LE-MUS-6,18.554,19.588,1.034,43.33,13.59,-16.24,15.71,3.19,FALSE
Tray 1 Juanes Hagfish 2019,G12,muscle,LE-MUS-7,18.627,19.639,1.012,45.57,14.32,-16.24,16.03,3.18,FALSE
Tray 1 Juanes Hagfish 2019,H1,standard,dogfish muscle,NA,NA,1.071,43.68,14.64,-17.32,14.14,2.98,FALSE
Tray 1 Juanes Hagfish 2019,H2,muscle,LE-MUS-8,18.762,19.84,1.078,44.89,13.26,-22.14,8.73,3.39,FALSE
Tray 1 Juanes Hagfish 2019,H3,muscle,LE-MUS-9,18.711,19.81,1.099,44.03,12.89,-23.55,7.18,3.42,FALSE
Tray 1 Juanes Hagfish 2019,H4,muscle,LE-MUS-10,18.652,19.694,1.042,43.54,13.63,-22.17,8.65,3.19,FALSE
